RMS_LAST_TOK post_moe-0 = 0.016356  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-1 = 0.020689  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-2 = 0.028881  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-3 = 0.031160  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-4 = 0.033691  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-5 = 0.037839  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-6 = 0.046494  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-7 = 0.041801  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-8 = 0.046640  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-9 = 0.054318  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-10 = 0.062637  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-11 = 0.061479  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-12 = 0.061803  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-13 = 0.064691  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-14 = 0.072480  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-15 = 0.066782  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-16 = 0.069572  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-17 = 0.073287  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-18 = 0.083159  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-19 = 0.081038  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-20 = 0.085776  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-21 = 0.089752  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-22 = 0.103001  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-23 = 0.096082  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-24 = 0.097185  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-25 = 0.099941  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-26 = 0.110311  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-27 = 0.103247  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-28 = 0.111679  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-29 = 0.115690  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-30 = 0.134759  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-31 = 0.129785  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-32 = 0.143421  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-33 = 0.164089  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-34 = 0.193748  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-35 = 0.205006  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-36 = 0.217645  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-37 = 0.249586  (last_tok=4, n_embd=2048)
RMS_LAST_TOK post_moe-38 = 0.327521  (last_tok=4, n_embd=2048)
